review,sentiment,review_clean,review_length,predicted_sentiment
"This film is terrible - honestly. The acting is terrible, the script made me cringe, the effects are completely lousy (which I usually don't mind for older films, but this was made just two years ago), and everything about it just annoys me. A few friends go out on Halloween into the woods and meet a witch and her cannibal son. Of course, before that it has the cliché ""You really believe that? Ha ha ha, it's just a story"" routine dragged out for a while. The witch's cannibal son was made a retard (I don't know if it was for comedy or to make it creepy, but this film failed at both). It has minimal gore and no nudity, which made a bad film even worse. Heck, the only good thing about this film is the leg eating scene, and even that could of been better.<br /><br />Honestly, don't even waste your time watching it on cable, and certainly don't consider buying or renting this, else you'll be kicking yourself for wasting time which could of been spent doing something more constructive or entertaining.",negative,this film is terrible  honestly the acting is terrible the script made me cringe the effects are completely lousy which i usually dont mind for older films but this was made just two years ago and everything about it just annoys me a few friends go out on halloween into the woods and meet a witch and her cannibal son of course before that it has the clich you really believe that ha ha ha its just a story routine dragged out for a while the witchs cannibal son was made a retard i dont know if it was for comedy or to make it creepy but this film failed at both it has minimal gore and no nudity which made a bad film even worse heck the only good thing about this film is the leg eating scene and even that could of been betterhonestly dont even waste your time watching it on cable and certainly dont consider buying or renting this else youll be kicking yourself for wasting time which could of been spent doing something more constructive or entertaining,182,Negative
this is the worst movie ive ever seen. And i have seen lots of movies. Me and my friends rented this one a wendsday evening. Man we had lots of fun. This movie is the worst most boring crap ive ever seen. But it makes you laugh! U will lay on the floor rolling around tryin to get some air. You wonder why? Just rent it and check for the keyboard playing girl at that sleazy russian bar. My mother would make a 1000 times better movie about her feedin the cats.,negative,this is the worst movie ive ever seen and i have seen lots of movies me and my friends rented this one a wendsday evening man we had lots of fun this movie is the worst most boring crap ive ever seen but it makes you laugh u will lay on the floor rolling around tryin to get some air you wonder why just rent it and check for the keyboard playing girl at that sleazy russian bar my mother would make a  times better movie about her feedin the cats,91,"The sentiment of this text is Mixed. While the user expresses strong negative sentiments about the movie, calling it ""the worst"" and ""boring crap"", they also mention that it's funny and makes them laugh, which introduces a positive sentiment."
"This movie has become an iconic stand-in for what is great about America. <br /><br />Fame is famous for its music and performances. There are several standout actors, singers, and dancers, including Irene Cara, Paul McCrae, Anne Meara*, and the superb Gene Anthony Ray. <br /><br />The plot is not the movie. It follows an interesting format ... but, it all really ends in a kind of mush.<br /><br />Where Parker succeeds is in pushing this movie into periodic overdrive - with the extremely poignant, sometimes beautiful and outright campy music score & performances.<br /><br />The film's climax is a song-dance fest of musicians,dancers, & score by Christopher Gore. A wonderment to behold. <br /><br />* An interesting note about the magnificent and superbly talented Anne Meara ... sometimes talent must reside in the genes ... Ms. Meara is married to one Jerry Stiller and is the mother of Ben Stiller ...",positive,this movie has become an iconic standin for what is great about america fame is famous for its music and performances there are several standout actors singers and dancers including irene cara paul mccrae anne meara and the superb gene anthony ray the plot is not the movie it follows an interesting format  but it all really ends in a kind of mushwhere parker succeeds is in pushing this movie into periodic overdrive  with the extremely poignant sometimes beautiful and outright campy music score  performancesthe films climax is a songdance fest of musiciansdancers  score by christopher gore a wonderment to behold  an interesting note about the magnificent and superbly talented anne meara  sometimes talent must reside in the genes  ms meara is married to one jerry stiller and is the mother of ben stiller,134,"Positive

The sentiment of the text is positive. The reviewer expresses admiration for the movie, praising its music, performances, and standout actors such as Irene Cara, Paul McCrane, Anne Meara, and Gene Anthony Ray. Despite noting that the plot is not the movie's strongest aspect and that it ends somewhat vaguely, the overall tone is appreciative and enthusiastic. The reviewer also highlights the film's climax as a ""song-dance fest"" and praises the music score by Christopher Gore. The mention of Anne Meara's talent and her familial connections to Jerry Stiller and Ben Stiller is also made in a positive light."
"A quick glance at the premise of this film would seem to indicate just another dumb '80's inbred/backwood slash-fest; the type where sex equals death and the actors are all annoying stereotypes you actually want to die. However, ""JBD"" delivers considerably more.<br /><br />Rather than focus on bare flesh and gore (though there is a little of each- no sex however), the flick focuses on delivering impending dread/mounting tension amidst a lovely scenic backdrop. These feelings are further heightened by a cast of realistically likable characters and antagonists that are more amoral than cardboard definitions of evil. Oh yeah- George Kennedy is here too and when is that not a good thing? <br /><br />If you liked ""Wrong Turn"", then watch this to see where much of its' methodology came from.",positive,a quick glance at the premise of this film would seem to indicate just another dumb s inbredbackwood slashfest the type where sex equals death and the actors are all annoying stereotypes you actually want to die however jbd delivers considerably morerather than focus on bare flesh and gore though there is a little of each no sex however the flick focuses on delivering impending dreadmounting tension amidst a lovely scenic backdrop these feelings are further heightened by a cast of realistically likable characters and antagonists that are more amoral than cardboard definitions of evil oh yeah george kennedy is here too and when is that not a good thing if you liked wrong turn then watch this to see where much of its methodology came from,127,"Positive.

The sentiment of the text is positive. Despite initial skepticism about the film being ""just another dumb slasher"", the reviewer praises the movie for its focus on impending dread, mounting tension, and a scenic backdrop. They also appreciate the realistic and likable characters, as well as the more complex antagonists. The mention of George Kennedy as a positive factor further contributes to the positive sentiment. The review concludes by recommending the film to fans of ""Wrong Turn"", indicating a favorable opinion."
"I would like to say that curiosity got the best of me. If only I saw a trailer, I'd be able to tell you the whole plot of the movie; I could have saved myself the most pointless one hour and forty minutes in my entire life, and about twenty dollars. This movie was a disaster waiting to happen, and it is an embarrassment to Hollywood.<br /><br />The movie displays a vivid ignorance of reality. For example, this kid's remote control race car goes all over the neighborhood, and even enters this house. It's even covered with clothes. Is it not rational to believe that a remote can no longer transmit a signal under those circumstances? Hollywood obviously did not believe so. Common logic and any concept of electronics dictates the opposite; I doubt the race car could even have reached the street, let alone a house across the street. Another unrealistic trait is the lack of intelligence the criminals possess. Why is it in all these movies, these criminals are rocket scientists until they encounter an eight-year old? The kid is meant to be the most intelligent person in the movie instead of professional terrorists? Please, there's more reality in The Matrix. Also, the leader puts down his real pistol and ""accidentally"" picks up a plastic pistol; apparently, he could not tell the difference. Even with a glove on, one should be able to do that. Just because they look the same does not mean anything; there is other senses then sight. The traps are unrealistic as well; if any one of them actually worked, the criminals would be dead. But, Hollywood intends for us to ""laugh"" at the ""funny"" results of the traps. I did not laugh; I sighed and rolled my eyes.<br /><br />But, I recommend this movie to anyone who thinks they have seen a really bad movie; the movie they saw will seem like Citizen Kane compared to this one. Otherwise, skip this one for the sake of your pride. Home Alone 3 also raises a question. We all know Alex D. Linz stars in the movie, but did he write it as well?",negative,i would like to say that curiosity got the best of me if only i saw a trailer id be able to tell you the whole plot of the movie i could have saved myself the most pointless one hour and forty minutes in my entire life and about twenty dollars this movie was a disaster waiting to happen and it is an embarrassment to hollywoodthe movie displays a vivid ignorance of reality for example this kids remote control race car goes all over the neighborhood and even enters this house its even covered with clothes is it not rational to believe that a remote can no longer transmit a signal under those circumstances hollywood obviously did not believe so common logic and any concept of electronics dictates the opposite i doubt the race car could even have reached the street let alone a house across the street another unrealistic trait is the lack of intelligence the criminals possess why is it in all these movies these criminals are rocket scientists until they encounter an eightyear old the kid is meant to be the most intelligent person in the movie instead of professional terrorists please theres more reality in the matrix also the leader puts down his real pistol and accidentally picks up a plastic pistol apparently he could not tell the difference even with a glove on one should be able to do that just because they look the same does not mean anything there is other senses then sight the traps are unrealistic as well if any one of them actually worked the criminals would be dead but hollywood intends for us to laugh at the funny results of the traps i did not laugh i sighed and rolled my eyesbut i recommend this movie to anyone who thinks they have seen a really bad movie the movie they saw will seem like citizen kane compared to this one otherwise skip this one for the sake of your pride home alone  also raises a question we all know alex d linz stars in the movie but did he write it as well,354,Negative
"This movie is at times a wild 80s college sex comedy, others a sweet romantic one... Then it has moments of serious drama and then sprinkles in dashes of science fiction... It is so uneven its almost ridiculous.<br /><br />But I would hardly rank it as one of the worst films I've ever seen except of course for the fact that they casted Peter O'Toole.<br /><br />There is absolutely nothing for him to work with here. Poor dialog, poor performances to work off of, poor everything... And yet he's fantastic... There is not one good thing about his part and yet he makes it work if only on pure charm alone.<br /><br />The fact that he was so able to achieve so much with so little shines a spotlight on how greatly everyone else in this film failed, making it seem even worse than I suppose it actually is...<br /><br />If any other actor was in O'Toole's role, I would have forgotten this movie as crap and never thought of it again, but a fine performance by Peter O'Toole despite all odds ensures that I'll remember this film for a long time to come... If only as a film that, maybe, could have been good if anyone involved in it was nearly half as good as Peter O'Toole.",negative,this movie is at times a wild s college sex comedy others a sweet romantic one then it has moments of serious drama and then sprinkles in dashes of science fiction it is so uneven its almost ridiculousbut i would hardly rank it as one of the worst films ive ever seen except of course for the fact that they casted peter otoolethere is absolutely nothing for him to work with here poor dialog poor performances to work off of poor everything and yet hes fantastic there is not one good thing about his part and yet he makes it work if only on pure charm alonethe fact that he was so able to achieve so much with so little shines a spotlight on how greatly everyone else in this film failed making it seem even worse than i suppose it actually isif any other actor was in otooles role i would have forgotten this movie as crap and never thought of it again but a fine performance by peter otoole despite all odds ensures that ill remember this film for a long time to come if only as a film that maybe could have been good if anyone involved in it was nearly half as good as peter otoole,210,"The sentiment of this text is Mixed. While the reviewer criticizes various aspects of the movie, such as its unevenness, poor dialogue, and weak performances (except for Peter O'Toole), they also express admiration for O'Toole's performance, acknowledging that it elevates the film to some degree. The overall sentiment is negative due to the criticism of the film's quality, but the positive comments about O'Toole's performance introduce a mixed sentiment."
"Michael Is King. This film contains some of the best stuff Mike has ever done. Smooth Criminal is pure genius. The cameos are wonderful, but as always, the main event is MJ himself. He is the best, hands down.",positive,michael is king this film contains some of the best stuff mike has ever done smooth criminal is pure genius the cameos are wonderful but as always the main event is mj himself he is the best hands down,39,"Positive

The sentiment of the text is positive. The reviewer expresses admiration and praise for the film and specifically for Michael Jackson's performance, calling it ""some of the best stuff Mike has ever done,"" ""pure genius,"" and stating that Michael Jackson ""is the best hands down."" The reviewer also appreciates the cameos and the song ""Smooth Criminal."" There are no negative comments or criticisms in the text."
"The film had it moments, but was disappointing in my eyes anyway. It was a reworking of Trespass (Walter Hill) and so The Treasure Of the Sierra Madre, with less tension, bite and human emotion. There was some nice acting but the story was limp and lacked any real depth. I watched the movie for Mr Reno and Mr Fishburn, neither were inspired and both had little to say or act out of their skin for. This movie has been done to death in the past and did not have to be made, eats up money which could be used on better movies. For an action movie it was sparse of action and as a thriller did not thrill. Better than watching snow fall, but not for me.",negative,the film had it moments but was disappointing in my eyes anyway it was a reworking of trespass walter hill and so the treasure of the sierra madre with less tension bite and human emotion there was some nice acting but the story was limp and lacked any real depth i watched the movie for mr reno and mr fishburn neither were inspired and both had little to say or act out of their skin for this movie has been done to death in the past and did not have to be made eats up money which could be used on better movies for an action movie it was sparse of action and as a thriller did not thrill better than watching snow fall but not for me,128,"Negative. The sentiment of the text is negative. The reviewer expresses disappointment with the film, describing it as ""disappointing,"" ""limp,"" and ""lacking real depth."" They also criticize the story, the performances of the actors, and the lack of action and thrill. The overall tone and specific criticisms indicate a negative opinion of the movie."
"""Carriers"" follows the exploits of two guys and two gals in a stolen Mercedes with the words road warrior on the hood hightailing it down the highway for the beach with surfboards strapped to the top of their car. Brian (Chris Pine of ""Star Trek"") is driving and his girlfriend Bobby (Piper Perabo of ""Coyote Ugly"")has shotgun, while Brian's younger brother, Danny (Lou Taylor Pucci of ""Fanboys"") and his friend--not exactly girlfriend--Kate (Emily VanCamp of ""The Ring 2"") occupy the backseat. This quartet of twentysomething characters are living in a nightmare. Apparently, a viral pandemic--which co-directors & co-scenarists Alex Pastor and David Pastor tell us absolutely nothing about--has devastated America. Naturally, the lack of exposition shaves off at least fifteen minutes that would have slowed down this cynical melodrama about how humans degenerate in a crisis and become their own worst enemies.<br /><br />This lethal virus gives you the shingles and then you bleed and die. Most everybody runs around wearing those white masks strapped to their nose and mouth by a thin rubber band. Initially, this foursome encounters a desperate father, Frank (Christopher Meloni of ""Runaway Bride""),and his cute little daughter Jodie (Kiernan Shipka of ""Land of the Lost"") blocking the highway with their SUV. Brian swerves around Frank when he tries to waylay them, but in the process, the oil pan in their Mercedes ruptures and they wind up on foot. Reluctantly, they hitch a ride with Frank after they seal Jodie up in the rear of the SUV. She wears a mask over her nose and mouth and it is speckled with blood. Frank has heard that doctors are curing ailing people at a hospital and they head to it. Sadly, somebody has lied to Frank. The hospital physician is giving the last couple of kids some Kool-Aid that will put them out of their misery. The cure did not improve their condition. Everybody else in town is dead. Kate tries without success to get a dial tone on every phone. Frank realizes that there is no hope for his daughter and he lets the heroic quartet appropriate his SUV and take off.<br /><br />Indeed, ""Carriers"" qualifies as a relentlessly depressing movie about the effects of a pandemic on four sympathetic people who degenerate into homicidal murderers to protect themselves. They reach a country club and frolic around on a golf course until another four show up in suits and masks with pump-action shotguns. Incredibly, our protagonists manage to escape without getting shot, but Brian has a scare when he almost falls into the water with a floating corpse. Eventually, they discover that one of them has become infected. Later, as they are about to run out of gas, Brian blocks the highway like Frank did at the outset. Danny tries to stop a pair of older Christian women driving the car. Danny lies that his pregnant wife is about to give birth and he needs their help. Brian throws caution to the wind and blasts away at the ladies with his automatic pistol when they refuse to help them. Brian catches a slug in the leg from the passenger, but he kills her. <br /><br />No,""Carriers"" is not a beer & pizza movie that you can either laugh off or laugh with because the humor is virtually non-existent. By the end of this 84-minute movie, our heroes have turned into villains who only care only for themselves and their plight. Chris Pine makes quite an impression as fun-loving Brian and his energetic performance is the only reason to hang with this hokum, while the only other well-known actress, Piper Perabo, is relegated to an inconsequential girlfriend role. As Bobby, she makes tragic the mistake of showing compassion to a dying little girl and pays an awful price. It is a testament to Pine's performance that he can change his character to the point of putting himself before others. Essentially, Pine has the only role that gives him the ability to pull a one-eighty from happy-go-lucky guy to heartless guy. <br /><br />The two directors are Spanish brothers, and they never let the momentum flag. Since there is no relief in sight, ""Carriers"" sinks into predictability. ""Irréversible"" cinematographer Benoît Debie does a fantastic job with his widescreen lensing and as unsavory as this road trip becomes, Debie makes it look like a dynamic film. Aside from the lack of a happy ending or closure in any sense of the word, ""Carriers"" suffers because it is so horribly cynical. The scene when the German shepherd attacks Danny conjures up the most suspense, but even it could have been improved. Unfortunately, the Pastor brothers do not scare up either much tension or suspense. By fade-out, you really don't care what happens to anybody.",negative,carriers follows the exploits of two guys and two gals in a stolen mercedes with the words road warrior on the hood hightailing it down the highway for the beach with surfboards strapped to the top of their car brian chris pine of star trek is driving and his girlfriend bobby piper perabo of coyote uglyhas shotgun while brians younger brother danny lou taylor pucci of fanboys and his friendnot exactly girlfriendkate emily vancamp of the ring  occupy the backseat this quartet of twentysomething characters are living in a nightmare apparently a viral pandemicwhich codirectors  coscenarists alex pastor and david pastor tell us absolutely nothing abouthas devastated america naturally the lack of exposition shaves off at least fifteen minutes that would have slowed down this cynical melodrama about how humans degenerate in a crisis and become their own worst enemiesthis lethal virus gives you the shingles and then you bleed and die most everybody runs around wearing those white masks strapped to their nose and mouth by a thin rubber band initially this foursome encounters a desperate father frank christopher meloni of runaway brideand his cute little daughter jodie kiernan shipka of land of the lost blocking the highway with their suv brian swerves around frank when he tries to waylay them but in the process the oil pan in their mercedes ruptures and they wind up on foot reluctantly they hitch a ride with frank after they seal jodie up in the rear of the suv she wears a mask over her nose and mouth and it is speckled with blood frank has heard that doctors are curing ailing people at a hospital and they head to it sadly somebody has lied to frank the hospital physician is giving the last couple of kids some koolaid that will put them out of their misery the cure did not improve their condition everybody else in town is dead kate tries without success to get a dial tone on every phone frank realizes that there is no hope for his daughter and he lets the heroic quartet appropriate his suv and take offindeed carriers qualifies as a relentlessly depressing movie about the effects of a pandemic on four sympathetic people who degenerate into homicidal murderers to protect themselves they reach a country club and frolic around on a golf course until another four show up in suits and masks with pumpaction shotguns incredibly our protagonists manage to escape without getting shot but brian has a scare when he almost falls into the water with a floating corpse eventually they discover that one of them has become infected later as they are about to run out of gas brian blocks the highway like frank did at the outset danny tries to stop a pair of older christian women driving the car danny lies that his pregnant wife is about to give birth and he needs their help brian throws caution to the wind and blasts away at the ladies with his automatic pistol when they refuse to help them brian catches a slug in the leg from the passenger but he kills her nocarriers is not a beer  pizza movie that you can either laugh off or laugh with because the humor is virtually nonexistent by the end of this minute movie our heroes have turned into villains who only care only for themselves and their plight chris pine makes quite an impression as funloving brian and his energetic performance is the only reason to hang with this hokum while the only other wellknown actress piper perabo is relegated to an inconsequential girlfriend role as bobby she makes tragic the mistake of showing compassion to a dying little girl and pays an awful price it is a testament to pines performance that he can change his character to the point of putting himself before others essentially pine has the only role that gives him the ability to pull a oneeighty from happygolucky guy to heartless guy the two directors are spanish brothers and they never let the momentum flag since there is no relief in sight carriers sinks into predictability irrversible cinematographer benot debie does a fantastic job with his widescreen lensing and as unsavory as this road trip becomes debie makes it look like a dynamic film aside from the lack of a happy ending or closure in any sense of the word carriers suffers because it is so horribly cynical the scene when the german shepherd attacks danny conjures up the most suspense but even it could have been improved unfortunately the pastor brothers do not scare up either much tension or suspense by fadeout you really dont care what happens to anybody,783,"Negative

The sentiment of this text is negative. The review describes the movie ""Carriers"" as relentlessly depressing, cynical, and lacking in humor. The characters are portrayed as degenerating into homicidal murderers, and the plot is criticized for its lack of exposition and predictability. The review also notes the film's grim and unsatisfying ending, and the overall sense of hopelessness it conveys. Despite praising the cinematography and Chris Pine's performance, the overall tone and content of the review indicate a negative sentiment towards the movie."
"As a convert into the Church of Jesus Christ of Latter Day Saints, I try to absorb as much as I can of my new religion's history. I was invited to attend a showing of this film with my sons & the other young men & women as well as their families of our ward. <br /><br />On a beautiful spring evening, we drove to Kirtland, Ohio to the church's historical village located there. We were to have had reservations at the Vistor's Center to view this movie. Since my movie viewing was limited to only a few church documentaries, I was intrigued. The only ""full length motion pictures"" of the church's I had seen was ""Legacy"" and ""My Best Two Years"", both which I thought were very well written and preformed.<br /><br />At the beginning, the missionary interpretor passed out tissues stating that several people had been deeply moved to the point of tears by this movie. I thought ""OK...but it takes a lot to move me to tears."" Imagine my surprise when I found myself sobbing! It truly is a very moving & inspirational testament to the Prophet Joseph Smith.<br /><br />See it & believe in it's powerful message!",positive,as a convert into the church of jesus christ of latter day saints i try to absorb as much as i can of my new religions history i was invited to attend a showing of this film with my sons  the other young men  women as well as their families of our ward on a beautiful spring evening we drove to kirtland ohio to the churchs historical village located there we were to have had reservations at the vistors center to view this movie since my movie viewing was limited to only a few church documentaries i was intrigued the only full length motion pictures of the churchs i had seen was legacy and my best two years both which i thought were very well written and preformedat the beginning the missionary interpretor passed out tissues stating that several people had been deeply moved to the point of tears by this movie i thought okbut it takes a lot to move me to tears imagine my surprise when i found myself sobbing it truly is a very moving  inspirational testament to the prophet joseph smithsee it  believe in its powerful message,191,"Positive. The sentiment of the text is overwhelmingly positive. The author expresses enthusiasm about attending a showing of a film about the Church of Jesus Christ of Latter-day Saints, located in Kirtland, Ohio. They describe the event as beautiful and moving, and they were deeply affected by the film, finding themselves sobbing. They describe the movie as a ""very moving, inspirational testament to the prophet Joseph Smith"" and highly recommend others to watch it and believe in its powerful message."
"Cinderella takes me back, when I was a little girl I loved the princesses of Disney. Cinderella was one of my favorites because I always was so enchanted by the story. Any child or family members will enjoy this wonderful and magical story.<br /><br />We have Cinderella who is a beautiful girl enslaved by her wicked step mother and ugly step sisters. She cleans and cooks for them without ever receiving thanks. The only friends she has in the world are the mice in the attic that are so charming and musical. When the ladies receive an invitation to the King's ball to find a lady for his son, the prince, a.k.a. Prince Charming, they all get excited, Cinderella overhears the exciting news and asks if she could come too. Her step mother makes a false promise and says if she does her chores and such, she can come too. Of course, she doesn't keep her promise and destroys a beautiful dress she and the mice made for the ball. Leaving poor Cinderella behind, a wonderful thing happens, Cinderella's fairy god mother appears and creates a beautiful dress and carriage out of things from around the house and even makes the mice and horses into elegant horses and a driver for the carriage. When the prince sees Cinderella at the ball, he has fallen hard for her. All the ladies are jealous, including her step mother and sisters. But Cinderella must return home at midnight when the spell is broken, all she leaves behind is her glass slipper. The next day the prince is on a hunt to find this girl who fits the slipper and is making a stop at Cinderella's house where her step mother has found out about her night and locks her in her room. <br /><br />Can she escape in time to tell the prince that it was her at the ball? You'll just have to find out. Trust me, this is a true Disney classic with beautiful animation and classic music that is so charming. You can't help but fall in love with this masterpiece. A dream is a wish your heart makes, this movie captures everything a girl could want.<br /><br />9/10",positive,cinderella takes me back when i was a little girl i loved the princesses of disney cinderella was one of my favorites because i always was so enchanted by the story any child or family members will enjoy this wonderful and magical storywe have cinderella who is a beautiful girl enslaved by her wicked step mother and ugly step sisters she cleans and cooks for them without ever receiving thanks the only friends she has in the world are the mice in the attic that are so charming and musical when the ladies receive an invitation to the kings ball to find a lady for his son the prince aka prince charming they all get excited cinderella overhears the exciting news and asks if she could come too her step mother makes a false promise and says if she does her chores and such she can come too of course she doesnt keep her promise and destroys a beautiful dress she and the mice made for the ball leaving poor cinderella behind a wonderful thing happens cinderellas fairy god mother appears and creates a beautiful dress and carriage out of things from around the house and even makes the mice and horses into elegant horses and a driver for the carriage when the prince sees cinderella at the ball he has fallen hard for her all the ladies are jealous including her step mother and sisters but cinderella must return home at midnight when the spell is broken all she leaves behind is her glass slipper the next day the prince is on a hunt to find this girl who fits the slipper and is making a stop at cinderellas house where her step mother has found out about her night and locks her in her room can she escape in time to tell the prince that it was her at the ball youll just have to find out trust me this is a true disney classic with beautiful animation and classic music that is so charming you cant help but fall in love with this masterpiece a dream is a wish your heart makes this movie captures everything a girl could want,363,"Positive

The sentiment of the text is overwhelmingly positive. The reviewer expresses nostalgia and fondness for the Disney film Cinderella, praising its enchanting story, beautiful animation, and classic music. They describe Cinderella as a ""beautiful girl"" and the story as ""wonderful and magical,"" indicating a positive sentiment. The reviewer also expresses admiration for the characters, the plot twists, and the film's ability to evoke emotions, concluding by calling it a ""true Disney classic"" and a ""masterpiece."" There are no negative or mixed sentiments expressed in the text."
"This film was rather a disappointment. After the very slow, very intense (and quite gory) beginning the film begins to lose it. Too much plot leaves too little time for explanation, and coming out of the theater I wondered what this was all about. The characters remain shallow, the story is not convincing at all, most of it is déja vù stuff without hints of parody, and there are some very cheesy parts... Like, the young cop has to do dig up a body. Of course it's night AND it rains AND he has to do it alone... yawn! Or The Manifestation of the Evil being ""nazis"" plus ""genetic manipulation""... Wow, that's really original. There are some nice bits, though, like the fistfight scene, mountain views and some (running) gags, but (though Reno and Vincent Cassel do what they can) that's definitely not worth it. (3 out of 10)",negative,this film was rather a disappointment after the very slow very intense and quite gory beginning the film begins to lose it too much plot leaves too little time for explanation and coming out of the theater i wondered what this was all about the characters remain shallow the story is not convincing at all most of it is dja v stuff without hints of parody and there are some very cheesy parts like the young cop has to do dig up a body of course its night and it rains and he has to do it alone yawn or the manifestation of the evil being nazis plus genetic manipulation wow thats really original there are some nice bits though like the fistfight scene mountain views and some running gags but though reno and vincent cassel do what they can thats definitely not worth it  out of,147,"Negative. The sentiment of the text is negative. The reviewer expresses disappointment with the film, criticizing its plot, character depth, originality, and certain cheesy elements. Despite mentioning a few positive aspects like the fistfight scene, mountain views, and running gags, the overall tone and specific criticisms indicate a negative sentiment towards the film."
"I don't usually comment, but there are things that need to be said. Where to start...<br /><br />The acting, on Jeremy London's part was horrible! I didn't think he could be so bad. The plot could have been good, had it been well directed, along with a good solid performance from the lead actor. Unfortunately, this is one of those movies you read about and think it has great potential to be entertaining, but get disappointed from the start. <br /><br />Well, at least I got good laughs. I wouldn't waste my time if I were you.",negative,i dont usually comment but there are things that need to be said where to startthe acting on jeremy londons part was horrible i didnt think he could be so bad the plot could have been good had it been well directed along with a good solid performance from the lead actor unfortunately this is one of those movies you read about and think it has great potential to be entertaining but get disappointed from the start well at least i got good laughs i wouldnt waste my time if i were you,93,"The sentiment of the text is Negative. The user expresses dissatisfaction with the acting, directing, and overall quality of the movie, stating that it failed to meet their expectations despite having potential. They also mention not recommending others to watch it."
"After buying the DVD in a Bargain Bin due to the impressive amount of features listed on the cover, I popped it in the DVD player and everything looked good. Nice animated menus and a whole lot of extra features...but when I played the movie itself, what a let down. It is the worst thing I have ever seen and I have seen some bad movies in my time. The comment that praises the movie here at IMDB is actually from the people who made the film. So Don't Believe It unless you like to waste your cash!",negative,after buying the dvd in a bargain bin due to the impressive amount of features listed on the cover i popped it in the dvd player and everything looked good nice animated menus and a whole lot of extra featuresbut when i played the movie itself what a let down it is the worst thing i have ever seen and i have seen some bad movies in my time the comment that praises the movie here at imdb is actually from the people who made the film so dont believe it unless you like to waste your cash,98,"Negative. The sentiment of the text is negative. The user expresses disappointment and dissatisfaction with the movie, calling it ""the worst thing I have ever seen"" and advising against purchasing it. Despite initially praising the DVD's features, the overall sentiment is negative due to the strong criticism of the movie itself."
"I would have enjoyed this movie slightly more had not been for Jason (Herb) Evers constant harping on experiment. Many early reviewers of The Seven Samurai accused Toshiro Mifune of overacting. Yet, as more and more critics viewed that film they saw it as being purposefully done. Jason Evers is obviously not Toshiro Mifune, and his overacting is exactly that.<br /><br />Most of the actors in this B classic were rather good actors, minus Evers and the showgirls. If you watch this movie, you would have noticed Evers shouting almost every line, that is until he is smoking and blowing the smoke coolly out his nose. <br /><br />The special effects were par for the course in a B movie such as this one. In hindsight, there isn't much that stands out in my mind as fantastically good or bad for this movie.",negative,i would have enjoyed this movie slightly more had not been for jason herb evers constant harping on experiment many early reviewers of the seven samurai accused toshiro mifune of overacting yet as more and more critics viewed that film they saw it as being purposefully done jason evers is obviously not toshiro mifune and his overacting is exactly thatmost of the actors in this b classic were rather good actors minus evers and the showgirls if you watch this movie you would have noticed evers shouting almost every line that is until he is smoking and blowing the smoke coolly out his nose the special effects were par for the course in a b movie such as this one in hindsight there isnt much that stands out in my mind as fantastically good or bad for this movie,139,"Negative

Explanation:
The sentiment of the text is negative. The reviewer expresses dissatisfaction with Jason Evers' performance, describing his acting as ""constant harping,"" ""overacting,"" and ""shouting almost every line."" The reviewer also mentions the special effects as ""par for the course in a B movie,"" implying they're not impressed. Although the reviewer notes that ""most of the actors... were rather good,"" the overall tone is critical and disapproving, leaning towards a negative sentiment. There are no elements of positivity or mixed sentiment in the text."
"My ratings: Acting - 3/10 Suspense - 2/10 Character Attachment - 1/10 Plot - 2/10 Character Development - 2/10 Overall - 2/10<br /><br />This show sucks very much officially. For me, CSI Miami is the best, CSI NY 2nd and CSI 100th. I don't know, in the other CSIs you get into the episode you're watching. But in this one, you just can't get into the episode, no matter how much you try, so in my opinion, this show is not worth watching. I know people have different opinions, and I respect that, but for me, this CSI ain't good enough. So if you like suspense, real acting/performance, good plot, direction, character development/attachment and you an overall good show, I suggest you to watch CSI Miami.",negative,my ratings acting   suspense   character attachment   plot   character development   overall  this show sucks very much officially for me csi miami is the best csi ny nd and csi th i dont know in the other csis you get into the episode youre watching but in this one you just cant get into the episode no matter how much you try so in my opinion this show is not worth watching i know people have different opinions and i respect that but for me this csi aint good enough so if you like suspense real actingperformance good plot direction character developmentattachment and you an overall good show i suggest you to watch csi miami,113,"Negative

Explanation:

The sentiment expressed in this text is overwhelmingly negative. The user explicitly states ""this show sucks very much"" and ""in my opinion this show is not worth watching"". They also express dissatisfaction with the acting, suspense, plot, character development, and overall quality of the show. They compare it unfavorably to other CSI series, stating that those shows draw viewers in more effectively. Despite acknowledging that others might have different opinions, the overall tone and explicit criticisms indicate a strongly negative sentiment."
